"Sovereignt","Surveillance_score","Total_population","DCZ_pop_risk_mean","DCZ_pop_risk_lower","DCZ_pop_risk_upper","YF_pop_risk_mean","YF_pop_risk_lower","YF_pop_risk_upper"
"China",0.529,1383.79,56.37,55.769,56.944,0,0,0
"Colombia",0.867,48.188,3.521,3.52,3.521,4.762,4.761,4.764
"Comoros",0.731,0.561,0.049,0.049,0.049,0,0,0
"Congo",0.726,5.508,0.541,0.541,0.541,0.542,0.542,0.542
"Costa Rica",0.911,5.025,0.498,0.498,0.498,0.001,0.001,0.001
"Croatia",0.74,3.732,0.164,0.161,0.168,0,0,0
"Cuba",0.854,10.098,0.997,0.997,0.997,0,0,0
"Cyprus",0.768,1.109,0.102,0.102,0.102,0,0,0
"Czechia",0.586,10.655,0.109,0.099,0.109,0,0,0
"Cote d'Ivoire",0.574,27.741,2.73,2.73,2.731,2.74,2.74,2.74
"Democratic People's Republic of Korea",0.445,24.807,1.08,1.06,1.1,0,0,0
"Democratic Republic of the Congo",0.533,107.555,10.431,10.416,10.444,10.375,10.361,10.388
"Denmark",0.695,5.147,0,0,0,0,0,0
"Djibouti",0.68,0.655,0.061,0.06,0.061,0.059,0.059,0.059
"Dominica",0.586,0.033,0.003,0.003,0.003,0,0,0
"Dominican Republic",0.91,9.8,0.973,0.973,0.973,0,0,0
"Ecuador",0.85,15.982,1.045,1.045,1.046,1.544,1.543,1.545
