"Longitude","Latitude","Admin","Year","disease"
-47.711,-16.773,-999,2006,"yf"
-48.741,-17.124,-999,2008,"yf"
-49.162,-16.951,-999,2005,"yf"
-48.625,-16.708,-999,2008,"yf"
-49.258,-16.703,-999,2005,"yf"
-50.008,-16.748,-999,2006,"yf"
-50.751,-16.636,-999,2004,"yf"
-51.283,-16.474,-999,1987,"yf"
-51.862,-16.418,-999,2008,"yf"
-51.868,-16.94,-999,2005,"yf"
-52.398,-16.624,-999,2006,"yf"
-51.858,-16.419,-999,2005,"yf"
-49.794,-16.48,-999,2005,"yf"
-49.502,-16.494,-999,2006,"yf"
-49.097,-16.391,-999,1983,"yf"
-48.724,-16.183,-999,1997,"yf"
-48.518,-16.083,-999,2005,"yf"
-47.985,-16.232,-999,2003,"yf"
-49.046,-15.87,-999,1998,"yf"
-49.578,-15.968,-999,1987,"yf"
-49.366,-15.766,-999,2008,"yf"
-48.029,-15.728,-999,2005,"yf"
-47.708,-15.408,-999,2005,"yf"
-47.392,-15.512,-999,2008,"yf"
-48.938,-15.45,-999,2005,"yf"
-49.148,-15.343,-999,2008,"yf"
-49.682,-15.338,-999,2007,"yf"
-50.001,-15.539,-999,2005,"yf"
-50.213,-15.964,-999,2003,"yf"
-50.429,-16.167,-999,2005,"yf"
-50.851,-15.952,-999,2000,"yf"
-50.747,-15.749,-999,2008,"yf"
-51.07,-15.747,-999,2008,"yf"
-48.933,-14.929,-999,2003,"yf"
-48.507,-14.513,-999,1999,"yf"
-49.144,-14.51,-999,2008,"yf"
-49.685,-14.662,-999,2005,"yf"
-49.888,-14.501,-999,2006,"yf"
-50.415,-14.077,-999,2008,"yf"
-49.879,-13.565,-999,2008,"yf"
-49.351,-13.878,-999,2005,"yf"
-49.246,-13.989,-999,2005,"yf"
-47.551,-14.733,-999,2005,"yf"
-48.128,-14.101,-999,2008,"yf"
-48.229,-13.617,-999,2005,"yf"
-47.596,-14.11,-999,2008,"yf"
-47.065,-14.424,-999,2006,"yf"
-47.441,-13.898,-999,1991,"yf"
-47.227,-13.798,-999,2008,"yf"
-46.842,-13.841,-999,2002,"yf"
-46.688,-14.108,-999,2008,"yf"
-46.368,-14.117,-999,2005,"yf"
-44.456,-13.819,-999,2008,"yf"
-46.414,-12.754,-999,2004,"yf"
-46.952,-13.005,-999,2008,"yf"
-47.905,-12.684,-999,2008,"yf"
-47.15,-11.646,-999,1995,"yf"
-49.234,-12.137,-999,2008,"yf"
-48.464,-8.855,-999,2008,"yf"
-48.193,-8.917,-999,2007,"yf"
-47.24,-8.765,-999,2006,"yf"
-46.809,-8.04,-999,2006,"yf"
-47.442,-7.354,-999,2004,"yf"
-48.136,-7.19,-999,2008,"yf"
-48.074,-6.396,-999,2008,"yf"
-47.389,-6.358,-999,2006,"yf"
-48.129,-5.666,-999,2005,"yf"
-47.432,-5.562,-999,2005,"yf"
-47.006,-5.884,-999,2007,"yf"
-46.05,-5.896,-999,2006,"yf"
-45.196,-5.586,-999,1990,"yf"
-45.084,-4.647,-999,1981,"yf"
-44.557,-4.966,-999,2008,"yf"
-44.302,-6.388,-999,2003,"yf"
-43.988,-6.596,-999,2007,"yf"
-42.86,-6.298,-999,2006,"yf"
-36.115,-7.618,-999,2006,"yf"
-43.431,-2.525,-999,2006,"yf"
-44.111,-2.88,-999,2006,"yf"
-43.902,-2.875,-999,2008,"yf"
-44.436,-3.189,-999,2008,"yf"
-44.559,-1.954,-999,2005,"yf"
-44.738,-1.632,-999,2005,"yf"
-45.354,-1.426,-999,2008,"yf"
-52.34,-15.837,-999,2008,"yf"
-53.019,-14.475,-999,2004,"yf"
-52.474,-12.419,-999,2008,"yf"
-55.1,-14.868,-999,1995,"yf"
-54.65,-11.056,-999,1997,"yf"
-55.405,-12.916,-999,2008,"yf"
-56.677,-12.692,-999,2006,"yf"
-57.16,-13.015,-999,2005,"yf"
-56.527,-14.336,-999,2008,"yf"
-56.425,-14.653,-999,2006,"yf"
-57.586,-14.54,-999,2004,"yf"
-56.27,-15.487,-999,2006,"yf"
-56.81,-16.215,-999,1995,"yf"
